epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
78,4216.96,1.62119,0.65919,0.00315,0.88915,0.8,0.8615,0.44612,1.83942,0.6367,0.00327,0.000484272,0.000484272,0.000484272
79,4417.06,1.65576,0.67489,0.00305,0.87368,0.82996,0.86547,0.4362,1.83653,0.65027,0.00325,0.000473919,0.000473919,0.000473919
80,4622.37,1.62026,0.66827,0.00309,0.86209,0.85846,0.88284,0.45382,1.78971,0.61114,0.00314,0.000463579,0.000463579,0.000463579
81,4846.86,1.61106,0.65856,0.00305,0.85706,0.83023,0.86676,0.4602,1.74573,0.6114,0.00314,0.000453258,0.000453258,0.000453258
82,5065.91,1.60254,0.66042,0.003,0.84772,0.84923,0.86555,0.47169,1.72764,0.60593,0.00305,0.00044296,0.00044296,0.00044296
83,5264.09,1.56827,0.6286,0.00296,0.87981,0.8,0.8597,0.46967,1.72889,0.60174,0.00301,0.000432689,0.000432689,0.000432689
84,5460.48,1.53448,0.61112,0.00288,0.90153,0.83077,0.8726,0.47157,1.73082,0.58473,0.00302,0.000422449,0.000422449,0.000422449
85,5661.39,1.56082,0.62761,0.00298,0.87135,0.81538,0.86109,0.45734,1.73228,0.61633,0.003,0.000412246,0.000412246,0.000412246
86,5860.46,1.545,0.61239,0.00289,0.84295,0.85231,0.86429,0.45866,1.74402,0.59449,0.00299,0.000402084,0.000402084,0.000402084
87,6059.13,1.53376,0.59879,0.00279,0.8814,0.82319,0.86853,0.47677,1.71413,0.5871,0.00295,0.000391966,0.000391966,0.000391966
88,6284.58,1.58138,0.62137,0.00285,0.87894,0.84894,0.87382,0.47992,1.67348,0.59223,0.00292,0.000381899,0.000381899,0.000381899
89,6506.44,1.54263,0.60468,0.00279,0.89196,0.82769,0.89275,0.48592,1.70888,0.5735,0.00292,0.000371885,0.000371885,0.000371885
90,6714.07,1.54386,0.61542,0.00282,0.88342,0.86267,0.89555,0.49265,1.66715,0.5551,0.00285,0.000361929,0.000361929,0.000361929
91,6936.38,1.51951,0.60496,0.00275,0.88488,0.86462,0.89347,0.49234,1.68113,0.5541,0.00289,0.000352037,0.000352037,0.000352037
92,7135.79,1.52882,0.60016,0.00273,0.8824,0.85421,0.87927,0.50151,1.64781,0.5562,0.00282,0.000342211,0.000342211,0.000342211
93,7349.89,1.50961,0.60432,0.0027,0.90108,0.82154,0.87755,0.48254,1.6772,0.57757,0.00286,0.000332457,0.000332457,0.000332457
94,7544.72,1.48274,0.59541,0.00261,0.88822,0.83127,0.88634,0.49321,1.64967,0.55466,0.00281,0.000322778,0.000322778,0.000322778
95,7744.61,1.50036,0.60495,0.00273,0.88048,0.82769,0.87658,0.48804,1.6549,0.5795,0.00282,0.00031318,0.00031318,0.00031318
96,7950.81,1.45028,0.57432,0.0027,0.88819,0.83101,0.88463,0.49523,1.6454,0.56718,0.00279,0.000303665,0.000303665,0.000303665
97,8159.74,1.44304,0.57824,0.00266,0.88953,0.84239,0.88962,0.49975,1.63773,0.54301,0.00276,0.000294239,0.000294239,0.000294239
98,8359.42,1.43955,0.56978,0.00255,0.88699,0.84521,0.88794,0.48937,1.6643,0.54865,0.00282,0.000284906,0.000284906,0.000284906
99,8554.08,1.42835,0.55273,0.00262,0.91769,0.82335,0.88937,0.49783,1.64689,0.54727,0.0028,0.000275668,0.000275668,0.000275668
100,8761.12,1.43375,0.55771,0.00257,0.9015,0.84479,0.89111,0.50819,1.61654,0.54374,0.0027,0.000266532,0.000266532,0.000266532
101,8990.37,1.42999,0.56953,0.00251,0.91988,0.83692,0.8949,0.5174,1.58369,0.53311,0.00265,0.0002575,0.0002575,0.0002575
102,9208.9,1.3982,0.56107,0.00247,0.90736,0.84379,0.89187,0.51866,1.58468,0.52951,0.00267,0.000248577,0.000248577,0.000248577
